Feature,Mean_SHAP_Value,ARO Accession,Resistance Mechanism,AMR Gene Family
KPC-1,2.226190789,,,
KPC-3,0.61519152,ARO:3002313,KPC-3 is a beta-lactamase found in Klebsiella pneumoniae.,KPC-3
OXA-1,0.526807588,ARO:3001396,OXA-1 is a beta-lactamase found in E. coli.,OXA-1
CTX-M-15,0.433423151,ARO:3001878,CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family.,CTX-M-15
dfrA14,0.333633285,ARO:3002859,dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,dfrA14
dfrA12,0.311230687,ARO:3002858,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.,dfrA12
OXA-9,0.282499514,ARO:3001404,OXA-9 is a beta-lactamase found in Klebsiella pneumoniae.,OXA-9
TEM-1,0.23830156,ARO:3000873,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.,TEM-1
tet(A),0.232826838,ARO:3000165,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.,tet(A)
AAC(6')-Ib10,0.21477801,ARO:3002581,AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,AAC(6')-Ib10
dfrA1,0.213531116,ARO:3002854,dfrA1 is an integron-encoded dihydrofolate reductase.,dfrA1
AAC(3)-IIe,0.195165444,ARO:3004621,AAC(3)-IIe is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.,AAC(3)-IIe
determinant_of_bleomycin_resistance,0.186891082,,,
sul1,0.178465155,ARO:3000410,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.,sul1
catI,0.173479247,,,
aadA2,0.164836934,ARO:3002602,"aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae, Salmonella spp., Corynebacterium glutamicum, C. freundii and Aeromonas spp.",aadA2
